Word,Polarity
good,0.8808
great,1.2498
greater,0.7224
greatest,1.2738
greatly,0.0
greatness,0.0
happiest,1.2738
happily,1.1148
happiness,1.1148
happy,1.1438
highest,0.0
honor,0.9878
honorable,1.0846
honored,1.1718
honoring,1.0212
honors,1.0212
ideal,1.0534
impress,0.8808
impressed,0.9534
impresses,0.9534
impressing,1.0846
impressive,1.0212
impressively,0.9176
improve,0.8808
improved,0.9534
improvement,0.9176
improvements,0.6364
improves,0.843
improving,0.843
incredible,0.0
incredibly,0.0
influential,0.8808
informative,0.0
ingenuity,0.0
innovate,0.9878
innovated,0.0
innovates,0.9176
innovating,0.0
innovation,0.7636
innovations,0.0
innovative,0.8808
innovativeness,0.0
innovator,0.0
innovators,0.0
insightful,0.0
inspiration,1.0534
inspirational,1.0212
integrity,0.7636
invent,0.0
invented,0.0
inventing,0.0
invention,0.0
inventions,0.0
inventive,0.0
inventiveness,0.0
inventor,0.0
inventors,0.0
leadership,0.0
leading,0.0
loyal,0.9534
lucrative,0.0
meritorious,0.9534
opportunities,0.7636
opportunity,0.843
optimistic,0.6364
outperform,0.0
outperformed,0.0
outperforming,0.0
outperforms,0.0
perfect,1.1438
perfected,1.1438
perfectly,1.2738
perfects,0.7636
pleasant,1.0212
pleasantly,0.9534
pleased,0.8808
pleasure,1.1438
plentiful,0.0
popular,0.843
popularity,0.9534
positive,1.1148
positively,1.0534
preeminence,0.0
preeminent,0.0
premier,0.0
premiere,0.0
prestige,0.0
prestigious,0.0
proactive,0.843
proactively,0.0
proficiency,0.0
proficient,0.0
proficiently,0.0
profitability,0.5464
profitable,0.8808
profitably,0.7636
progress,0.843
progressed,0.0
progresses,0.0
progressing,0.0
prospered,0.0
prospering,0.0
prosperity,0.0
prosperous,0.9534
prospers,0.0
rebound,0.0
rebounded,0.0
rebounding,0.0
receptive,0.0
regain,0.0
regained,0.0
regaining,0.0
resolve,0.7636
revolutionize,0.0
revolutionized,0.0
revolutionizes,0.0
revolutionizing,0.0
reward,1.1438
rewarded,0.9878
rewarding,1.0534
rewards,0.9534
satisfaction,0.8808
satisfactorily,0.7636
satisfactory,0.7224
satisfied,0.843
satisfies,0.843
satisfy,0.9176
satisfying,0.9176
smooth,0.0
smoothing,0.0
smoothly,0.0
smooths,0.0
solves,0.5464
solving,0.68
spectacular,0.0
spectacularly,0.0
stability,0.0
stabilization,0.0
stabilizations,0.0
stabilize,0.0
stabilized,0.0
stabilizes,0.0
stabilizing,0.0
stable,0.592
strength,0.9878
strengthen,0.6364
strengthened,0.843
strengthening,0.9878
strengthens,0.9176
strengths,0.8038
strong,1.0212
stronger,0.7636
strongest,0.8808
succeed,0.9878
succeeded,0.843
succeeding,0.9878
succeeds,0.9878
success,1.1438
successes,1.1148
successful,1.1718
successfully,0.9878
superior,1.0846
surpass,0.0
surpassed,0.0
surpasses,0.0
surpassing,0.0
transparency,0.0
tremendous,0.0
tremendously,0.0
unmatched,-0.1544
unparalleled,0.0
unsurpassed,0.0
upturn,0.0
upturns,0.0
valuable,0.9534
versatile,0.0
versatility,0.0
vibrancy,0.0
vibrant,1.0534
win,1.1718
winner,1.1718
winners,0.9534
winning,1.0534
worthy,0.8808
abandon,-0.8808
abandoned,-0.9176
abandoning,-0.7636
abandonment,-1.0534
abandonments,-0.8038
abandons,-0.6364
abdicated,0.0
abdicates,0.0
abdicating,0.0
abdication,0.0
abdications,0.0
aberrant,0.0
aberration,0.0
aberrational,0.0
aberrations,0.0
abetting,0.0
abnormal,0.0
abnormalities,0.0
abnormality,0.0
abnormally,0.0
abolish,0.0
abolished,0.0
abolishes,0.0
abolishing,0.0
abrogate,0.0
abrogated,0.0
abrogates,0.0
abrogating,0.0
abrogation,0.0
abrogations,0.0
abrupt,0.0
abruptly,0.0
abruptness,0.0
absence,0.0
absences,0.0
absenteeism,0.0
abuse,-1.2738
abused,-1.0212
abuses,-1.1148
abusing,-0.9176
abusive,-1.2738
abusively,-1.1718
abusiveness,-1.0846
accident,-0.9534
accidental,-0.1544
accidentally,-0.68
accidents,-0.6364
accusation,-0.5
accusations,-0.6364
accuse,-0.4046
accused,-0.592
accuses,-0.68
accusing,-0.3558
acquiesce,0.0
acquiesced,0.0
acquiesces,0.0
acquiescing,0.0
acquit,0.4046
acquits,0.0516
acquittal,0.0
acquittals,0.0
acquitted,0.5
acquitting,0.6364
adulterate,0.0
adulterated,0.0
adulterating,0.0
adulteration,0.0
adulterations,0.0
adversarial,-0.7224
adversaries,-0.5
adversary,-0.4046
adverse,-0.7224
adversely,-0.4046
adversities,-0.7224
adversity,-0.843
aftermath,0.0
aftermaths,0.0
against,0.0
aggravate,-1.0846
aggravated,-0.8808
aggravates,-0.8808
aggravating,-0.592
aggravation,0.0
aggravations,0.0
alerted,0.0
alerting,0.0
alienate,0.0
alienated,0.0
alienates,0.0
alienating,0.0
alienation,-0.5464
alienations,0.0
allegation,0.0
allegations,0.0
allege,0.0
alleged,0.0
allegedly,0.0
alleges,0.0
alleging,0.0
annoy,-0.8808
annoyance,-0.6364
annoyances,-0.843
annoyed,-0.7636
annoying,-0.8038
annoys,-0.843
annul,0.0
annulled,0.0
annulling,0.0
annulment,0.0
annulments,0.0
annuls,0.0
anomalies,0.0
anomalous,0.0
anomalously,0.0
anomaly,0.0
anticompetitive,0.0
antitrust,0.0
argue,-0.68
argued,-0.7224
arguing,-0.9176
argument,-0.7224
argumentative,-0.7224
arguments,-0.8038
arrearage,0.0
arrearages,0.0
arrears,0.0
arrest,-0.68
arrested,-0.9534
arrests,-0.8808
artificially,0.0
assault,-1.1718
assaulted,-1.0534
assaulting,-1.0212
assaults,-1.0846
assertions,0.0
attrition,0.0
aversely,0.0
backdating,0.0
bad,-1.0846
bail,0.0
bailout,-0.2054
balk,0.0
balked,0.0
bankrupt,-1.1148
bankruptcies,0.0
bankruptcy,0.0
bankrupted,0.0
bankrupting,0.0
bankrupts,0.0
bans,0.0
barred,0.0
barrier,-0.256
barriers,0.0
bottleneck,0.0
bottlenecks,0.0
boycott,-0.6364
boycotted,-0.8038
boycotting,-0.8038
boycotts,-0.68
breach,0.0
breached,0.0
breaches,0.0
breaching,0.0
break,0.0
breakage,0.0
breakages,0.0
breakdown,0.0
breakdowns,0.0
breaking,0.0
breaks,0.0
bribe,-0.4046
bribed,0.0
briberies,0.0
bribery,0.0
bribes,0.0
bribing,0.0
bridge,0.0
broken,-0.9534
burden,-0.8808
burdened,-0.8038
burdening,-0.68
burdens,-0.7224
burdensome,-0.843
burned,0.0
calamities,0.0
calamitous,0.0
calamity,0.0
cancel,-0.5
canceled,0.0
canceling,0.0
cancellation,0.0
cancellations,0.0
cancelled,-0.5
cancelling,-0.4046
cancels,-0.4526
careless,-0.7224
carelessly,-0.5
carelessness,-0.68
catastrophe,-1.3194
catastrophes,0.0
catastrophic,-0.9878
catastrophically,0.0
caution,0.0
cautionary,0.0
cautioned,0.0
cautioning,0.0
cautions,0.0
cease,0.0
ceased,0.0
ceases,0.0
ceasing,0.0
censure,0.0
censured,0.0
censures,0.0
censuring,0.0
challenge,0.1544
challenged,-0.2054
challenges,0.1544
challenging,0.3062
chargeoffs,0.0
circumvent,0.0
circumvented,0.0
circumventing,0.0
circumvention,0.0
circumventions,0.0
circumvents,0.0
claiming,0.0
claims,0.0
clawback,0.0
closed,0.0
closeout,0.0
closeouts,0.0
closing,0.0
closings,0.0
closure,0.0
closures,0.0
coerce,0.0
coerced,-0.7224
coerces,0.0
coercing,0.0
coercion,0.0
coercive,0.0
collapse,-0.9878
collapsed,-0.5464
collapses,-0.592
collapsing,-0.592
collision,-0.7224
collisions,-0.5464
collude,0.0
colluded,0.0
colludes,0.0
colluding,-0.592
collusion,0.0
collusions,0.0
collusive,0.0
complain,-0.7224
complained,-0.8038
complaining,-0.4046
complains,-0.7636
complaint,-0.592
complaints,-0.8038
complicate,0.0
complicated,0.0
complicates,0.0
complicating,0.0
complication,0.0
complications,0.0
compulsion,0.0
concealed,0.0
concealing,0.0
concede,0.0
conceded,0.0
concedes,0.0
conceding,0.0
concern,0.0
concerned,0.0
concerns,0.0
conciliating,0.6364
conciliation,0.0
conciliations,0.0
condemn,-0.7636
condemnation,-1.1718
condemnations,0.0
condemned,-0.8808
condemning,0.0
condemns,-1.0212
condone,0.0
condoned,0.0
confess,0.0
confessed,0.0
confesses,0.0
confessing,0.0
confession,0.0
confine,0.0
confined,0.0
confinement,0.0
confinements,0.0
confines,0.0
confining,0.0
confiscate,0.0
confiscated,0.0
confiscates,0.0
confiscating,0.0
confiscation,0.0
confiscations,0.0
conflict,-0.6364
conflicted,0.0
conflicting,-0.8038
conflicts,-0.7636
confront,-0.3558
confrontation,-0.6364
confrontational,-0.7636
confrontations,-0.7224
confronted,-0.4046
confronting,-0.3062
confronts,-0.4526
confuse,-0.4526
confused,-0.6364
confuses,-0.6364
confusing,-0.4526
confusingly,-0.68
confusion,-0.592
conspiracies,0.0
conspiracy,-1.0534
conspirator,0.0
conspiratorial,0.0
conspirators,0.0
conspire,0.0
conspired,0.0
conspires,0.0
conspiring,0.0
contempt,-1.1718
contend,0.1032
contended,0.0
contending,0.0
contends,0.0
contention,0.0
contentions,0.0
contentious,-0.592
contentiously,0.0
contested,0.0
contesting,0.0
contraction,0.0
contractions,0.0
contradict,-0.6364
contradicted,-0.6364
contradicting,-0.6364
contradiction,-0.5
contradictions,-0.6364
contradictory,-0.68
contradicts,-0.68
contrary,0.0
controversial,-0.4046
controversies,0.0
controversy,0.0
convict,0.0
convicted,0.0
convicting,0.0
conviction,0.0
convictions,0.0
corrected,0.0
correcting,0.0
correction,0.0
corrections,0.0
corrects,0.0
corrupt,0.0
corrupted,0.0
corrupting,0.0
corruption,0.0
corruptions,0.0
corruptly,0.0
corruptness,0.0
costly,-0.2054
counterclaim,0.0
counterclaimed,0.0
counterclaiming,0.0
counterclaims,0.0
counterfeit,0.0
counterfeited,0.0
counterfeiter,0.0
counterfeiters,0.0
counterfeiting,0.0
counterfeits,0.0
countermeasure,0.0
countermeasures,0.0
crime,-1.0846
crimes,0.0
criminal,-1.0534
criminally,0.0
criminals,-1.1438
crises,0.0
crisis,-1.2498
critical,-0.6364
critically,0.0
criticism,-0.8808
criticisms,-0.4526
criticize,-0.7636
criticized,-0.7224
criticizes,-0.68
criticizing,-0.7224
crucial,0.0
crucially,0.0
culpability,0.0
culpable,0.0
culpably,0.0
cumbersome,0.0
curtail,0.0
curtailed,0.0
curtailing,0.0
curtailment,0.0
curtailments,0.0
curtails,0.0
cut,-0.5464
cutback,0.0
cutbacks,0.0
cyberattack,0.0
cyberattacks,0.0
cyberbullying,0.0
cybercrime,0.0
cybercrimes,0.0
cybercriminal,0.0
cybercriminals,0.0
damage,-0.9878
damaged,-0.8808
damages,-0.8808
damaging,-1.0212
dampen,0.0
dampened,0.0
danger,-1.0534
dangerous,-0.9534
dangerously,-0.9176
dangers,-0.9878
deadlock,-0.68
deadlocked,0.0
deadlocking,0.0
deadlocks,0.0
deadweight,0.0
deadweights,0.0
debarment,0.0
debarments,0.0
debarred,0.0
deceased,0.0
deceit,-0.9176
deceitful,-0.8808
deceitfulness,0.0
deceive,-0.8038
deceived,-0.8808
deceives,-0.7636
deceiving,-0.68
deception,-0.8808
deceptions,0.0
deceptive,0.0
deceptively,0.0
decline,0.0
declined,0.0
declines,0.0
declining,0.0
deface,0.0
defaced,0.0
defacement,0.0
defamation,0.0
defamations,0.0
defamatory,0.0
defame,0.0
defamed,0.0
defames,0.0
defaming,0.0
default,0.0
defaulted,0.0
defaulting,0.0
defaults,0.0
defeat,-0.9176
defeated,-0.9534
defeating,-0.7636
defeats,-0.6364
defect,-0.68
defective,-0.8808
defects,-0.8038
defend,0.0
defendant,0.0
defendants,0.0
defended,0.0
defending,0.0
defends,0.0
defensive,0.0516
defer,-0.592
deficiencies,0.0
deficiency,0.0
deficient,0.0
deficit,-0.8038
deficits,0.0
defraud,0.0
defrauded,0.0
defrauding,0.0
defrauds,0.0
defunct,0.0
degradation,-1.0534
degradations,-0.7224
degrade,-0.8808
degraded,-0.843
degrades,-0.9534
degrading,-1.1718
delay,-0.6364
delayed,-0.4526
delaying,0.0
delays,0.0
deleterious,0.0
deliberate,0.0
deliberated,0.0
deliberately,0.0
delinquencies,0.0
delinquency,0.0
delinquent,0.0
delinquently,0.0
delinquents,0.0
delist,0.0
delisted,0.0
delisting,0.0
delists,0.0
demise,0.0
demised,0.0
demises,0.0
demising,0.0
demolish,0.0
demolished,0.0
demolishes,0.0
demolishing,0.0
demolition,0.0
demolitions,0.0
demote,0.0
demoted,0.0
demotes,0.0
demoting,0.0
demotion,0.0
demotions,0.0
denial,0.0
denials,0.0
denied,-0.8808
denies,-0.843
denigrate,0.0
denigrated,0.0
denigrates,0.0
denigrating,0.0
denigration,0.0
deny,-0.68
denying,-0.68
deplete,0.0
depleted,0.0
depletes,0.0
depleting,0.0
depletion,0.0
depletions,0.0
deprecation,0.0
depress,-0.9878
depressed,-1.0212
depresses,-0.9878
depressing,-0.7636
deprivation,-0.843
deprive,-0.9534
deprived,-0.9534
deprives,-0.8038
depriving,-0.9176
derelict,0.0
dereliction,0.0
derogatory,0.0
destabilization,0.0
destabilize,0.0
destabilized,0.0
destabilizing,0.0
destroy,-1.0846
destroyed,-0.9878
destroying,-1.1148
destroys,-1.1148
destruction,-1.1438
destructive,-1.2248
detain,-0.843
detained,-0.8038
detention,-0.7224
detentions,0.0
deter,0.0
deteriorate,0.0
deteriorated,0.0
deteriorates,0.0
deteriorating,0.0
deterioration,0.0
deteriorations,0.0
deterred,0.0
deterrence,0.0
deterrences,0.0
deterrent,0.0
deterrents,0.0
deterring,0.0
deters,0.0
detract,0.0
detracted,0.0
detracting,0.0
detriment,0.0
detrimental,0.0
detrimentally,0.0
detriments,0.0
devalue,0.0
devalued,0.0
devalues,0.0
devaluing,0.0
devastate,-1.2498
devastated,-1.2248
devastating,-1.2972
devastation,-0.843
deviate,0.0
deviated,0.0
deviates,0.0
deviating,0.0
deviation,0.0
deviations,0.0
devolve,0.0
devolved,0.0
devolves,0.0
devolving,0.0
difficult,-0.7224
difficulties,-0.592
difficultly,-0.8038
difficulty,-0.68
diminish,0.0
diminished,0.0
diminishes,0.0
diminishing,0.0
diminution,0.0
disadvantage,-0.843
disadvantaged,-0.8038
disadvantageous,-0.843
disadvantages,-0.8038
disaffiliation,0.0
disagree,-0.7636
disagreeable,-0.8038
disagreed,-0.6364
disagreeing,-0.68
disagreement,-0.7224
disagreements,-0.843
disagrees,-0.6364
disallow,0.0
disallowance,0.0
disallowances,0.0
disallowed,0.0
disallowing,0.0
disallows,0.0
disappear,-0.4526
disappearance,0.0
disappearances,0.0
disappeared,-0.4526
disappearing,0.0
disappears,-0.68
disappoint,-0.8038
disappointed,-0.9534
disappointing,-0.9878
disappointingly,-0.8808
disappointment,-1.0212
disappointments,-0.9176
disappoints,-0.7636
disapproval,0.0
disapprovals,0.0
disapprove,0.0
disapproved,0.0
disapproves,0.0
disapproving,0.0
disassociates,0.0
disassociating,0.0
disassociation,0.0
disassociations,0.0
disaster,-1.2498
disasters,-1.1148
disastrous,-1.1988
disastrously,0.0
disavow,0.0
disavowal,0.0
disavowed,0.0
disavowing,0.0
disavows,0.0
disciplinary,0.0
disclaim,0.0
disclaimed,0.0
disclaimer,0.0
disclaimers,0.0
disclaiming,0.0
disclaims,0.0
disclose,0.0
disclosed,0.0
discloses,0.0
disclosing,0.0
discontinuance,0.0
discontinuances,0.0
discontinuation,0.0
discontinuations,0.0
discontinue,0.0
discontinued,0.0
discontinues,0.0
discontinuing,0.0
discourage,-0.843
discouraged,-0.8038
discourages,-0.8808
discouraging,-0.8808
discredit,0.0
discredited,-0.8808
discrediting,0.0
discredits,0.0
discrepancies,0.0
discrepancy,0.0
disfavor,0.0
disfavored,0.0
disfavoring,0.0
disfavors,0.0
disgorge,0.0
disgorged,0.0
disgorgement,0.0
disgorgements,0.0
disgorges,0.0
disgorging,0.0
disgrace,-0.9878
disgraceful,0.0
disgracefully,0.0
dishonest,-1.1438
dishonestly,0.0
dishonesty,0.0
dishonor,0.0
dishonorable,0.0
dishonorably,0.0
dishonored,0.0
dishonoring,0.0
dishonors,0.0
disincentives,0.0
disinterested,0.0
disinterestedly,0.0
disinterestedness,0.0
disloyal,0.0
disloyally,0.0
disloyalty,0.0
dismal,-1.2248
dismally,0.0
dismiss,0.0
dismissal,0.0
dismissals,0.0
dismissed,0.0
dismisses,0.0
dismissing,0.0
disorderly,0.0
disparage,-0.9176
disparaged,-0.68
disparagement,0.0
disparagements,0.0
disparages,-0.7636
disparaging,-0.9878
disparagingly,0.0
disparities,0.0
disparity,0.0
displace,0.0
displaced,0.0
displacement,0.0
displacements,0.0
displaces,0.0
displacing,0.0
dispose,0.0
dispossess,0.0
dispossessed,0.0
dispossesses,0.0
dispossessing,0.0
disproportion,0.0
disproportional,0.0
disproportionate,0.0
disproportionately,0.0
dispute,-0.8038
disputed,-0.68
disputes,-0.5464
disputing,-0.8038
disqualification,0.0
disqualifications,0.0
disqualified,-0.843
disqualifies,0.0
disqualify,0.0
disqualifying,0.0
disregard,-0.5464
disregarded,-0.7636
disregarding,-0.4526
disregards,-0.68
disreputable,0.0
disrepute,0.0
disrupt,0.0
disrupted,0.0
disrupting,0.0
disruption,-0.7224
disruptions,-0.68
disruptive,-0.6364
disrupts,0.0
dissatisfaction,-0.9878
dissatisfied,-0.7636
dissent,0.0
dissented,0.0
dissenter,0.0
dissenters,0.0
dissenting,0.0
dissents,0.0
dissident,0.0
dissidents,0.0
dissolution,0.0
dissolutions,0.0
distort,-0.6364
distorted,-0.8038
distorting,-0.5464
distortion,0.0
distortions,0.0
distorts,-0.68
distract,-0.592
distracted,-0.68
distracting,-0.592
distraction,-0.7636
distractions,-0.5
distracts,-0.6364
distress,-1.0534
distressed,-0.843
disturb,-0.8038
disturbance,-0.7636
disturbances,-0.68
disturbed,-0.7636
disturbing,-1.0212
disturbs,-0.8808
diversion,0.0
divert,0.0
diverted,0.0
diverting,0.0
diverts,0.0
divest,0.0
divested,0.0
divesting,0.0
divestiture,0.0
divestitures,0.0
divestment,0.0
divestments,0.0
divests,0.0
divorce,0.0
divorced,0.0
divulge,0.0
divulged,0.0
divulges,0.0
divulging,0.0
doubt,-0.7224
doubted,-0.5464
doubtful,-0.68
doubts,-0.592
downgrade,0.0
downgraded,0.0
downgrades,0.0
downgrading,0.0
downsize,0.0
downsized,0.0
downsizes,0.0
downsizing,0.0
downsizings,0.0
downtime,0.0
downtimes,0.0
downturn,0.0
downturns,0.0
downward,0.0
downwards,0.0
drag,-0.4526
drastic,0.0
drastically,0.0
drawback,0.0
drawbacks,0.0
dropped,0.0
drought,0.0
droughts,0.0
duress,0.0
dysfunction,-0.843
dysfunctional,0.0
dysfunctions,0.0
easing,0.5
egregious,0.0
egregiously,0.0
embargo,0.0
embargoed,0.0
embargoes,0.0
embargoing,0.0
embarrass,-0.592
embarrassed,-0.7224
embarrasses,-0.8038
embarrassing,-0.7636
embarrassment,-0.8808
embarrassments,-0.8038
embezzle,0.0
embezzled,0.0
embezzlement,0.0
embezzlements,0.0
embezzler,0.0
embezzles,0.0
embezzling,0.0
encroach,0.0
encroached,0.0
encroaches,0.0
encroaching,0.0
encroachment,0.0
encroachments,0.0
encumber,0.0
encumbered,0.0
encumbering,0.0
encumbers,0.0
encumbrance,0.0
encumbrances,0.0
endanger,0.0
endangered,0.0
endangering,0.0
endangerment,0.0
endangers,0.0
enjoin,0.0
enjoined,0.0
enjoining,0.0
enjoins,0.0
erode,0.0
eroded,0.0
erodes,0.0
eroding,0.0
erosion,0.0
erratic,0.0
erratically,0.0
erred,0.0
erring,0.0
erroneous,-0.843
erroneously,0.0
error,-0.8038
errors,-0.68
errs,0.0
escalate,0.0
escalated,0.0
escalates,0.0
escalating,0.0
evade,0.0
evaded,0.0
evades,0.0
evading,0.0
evasion,0.0
evasions,0.0
evasive,0.0
evict,0.0
evicted,0.0
evicting,0.0
eviction,-0.9176
evictions,0.0
evicts,0.0
exacerbate,0.0
exacerbated,0.0
exacerbates,0.0
exacerbating,0.0
exacerbation,0.0
exacerbations,0.0
exaggerate,-0.3062
exaggerated,-0.2054
exaggerates,-0.3062
exaggerating,-0.3558
exaggeration,0.0
excessive,0.0
excessively,0.0
exculpate,0.0
exculpated,0.0
exculpates,0.0
exculpating,0.0
exculpation,0.0
exculpations,0.0
exculpatory,0.0
exonerate,0.843
exonerated,0.843
exonerates,0.7636
exonerating,0.5
exoneration,0.0
exonerations,0.0
exploit,-0.2054
exploitation,0.0
exploitations,0.0
exploitative,0.0
exploited,-0.9176
exploiting,-0.8808
exploits,-0.68
expose,-0.3062
exposed,-0.1544
exposes,-0.256
exposing,-0.5464
expropriate,0.0
expropriated,0.0
expropriates,0.0
expropriating,0.0
expropriation,0.0
expropriations,0.0
expulsion,0.0
expulsions,0.0
extenuating,0.0
fail,-1.0846
failed,-1.0212
failing,-1.0212
failings,-0.9878
fails,-0.843
failure,-1.0212
failures,-0.9176
fallout,0.0
false,0.0
falsely,0.0
falsification,0.0
falsifications,0.0
falsified,-0.7636
falsifies,0.0
falsify,-0.9176
falsifying,0.0
falsity,0.0
fatalities,-1.1988
fatality,-1.341
fatally,-1.2738
fault,-0.8038
faulted,-0.68
faults,-0.9534
faulty,-0.6364
fear,-0.9878
fears,-0.843
felonies,-1.0846
felonious,0.0
felony,-1.0846
fictitious,0.0
fined,0.0
fines,0.0
fired,-1.1148
firing,-0.68
flaw,0.0
flawed,0.0
flaws,0.0
forbid,-0.6364
forbidden,-0.843
forbidding,-0.8808
forbids,-0.6364
force,0.0
forced,-0.9176
forcing,0.0
foreclose,0.0
foreclosed,0.0
forecloses,0.0
foreclosing,0.0
foreclosure,-0.256
foreclosures,-1.0534
forego,0.0
foregoes,0.0
foregone,0.0
forestall,0.0
forestalled,0.0
forestalling,0.0
forestalls,0.0
forfeit,0.0
forfeited,0.0
forfeiting,0.0
forfeits,0.0
forfeiture,0.0
forfeitures,0.0
forgers,0.0
forgery,0.0
fraud,-1.1718
frauds,-1.0212
fraudulence,-1.0212
fraudulent,-0.9878
fraudulently,0.0
frivolous,0.0
frivolously,0.0
frustrate,-0.9176
frustrated,-1.0534
frustrates,-0.8808
frustrating,-0.8808
frustratingly,-0.9176
frustration,-0.9534
frustrations,-0.9176
fugitive,0.0
fugitives,0.0
gratuitous,0.0
gratuitously,0.0
grievance,-0.9534
grievances,-0.7224
grossly,-0.4526
groundless,0.0
guilty,-0.843
halt,0.0
halted,0.0
hamper,0.0
hampered,0.0
hampering,0.0
hampers,0.0
harass,-0.9878
harassed,-1.0846
harassing,-1.0846
harassment,-1.0846
hardship,-0.6364
hardships,0.0
harm,-1.0846
harmed,-0.9534
harmful,0.0
harmfully,-1.1148
harming,-1.1148
harms,-0.9878
harsh,-0.8808
harsher,-0.9878
harshest,-1.1988
harshly,0.0
harshness,0.0
hazard,0.0
hazardous,0.0
hazards,0.0
hinder,0.0
hindered,0.0
hindering,0.0
hinders,0.0
hindrance,-0.8038
hindrances,0.0
hostile,-0.7636
hostility,-1.0846
hurt,-1.0534
hurting,-0.8038
idle,0.0
idled,0.0
idling,0.0
ignore,-0.7224
ignored,-0.6364
ignores,-0.5464
ignoring,-0.8038
ill,-0.843
illegal,-1.1148
illegalities,0.0
illegality,0.0
illegally,0.0
illegible,0.0
illicit,0.0
illicitly,0.0
illiquid,0.0
illiquidity,0.0
imbalance,0.0
imbalances,0.0
immature,0.0
immoral,-0.9176
impair,0.0
impaired,0.0
impairing,0.0
impairment,0.0
impairments,0.0
impairs,0.0
impasse,0.0
impasses,0.0
impede,0.0
impeded,0.0
impedes,0.0
impediment,0.0
impediments,0.0
impeding,0.0
impending,0.0
imperative,0.0
imperfection,0.0
imperfections,0.0
imperil,0.0
impermissible,0.0
implicate,0.0
implicated,0.0
implicates,0.0
implicating,0.0
impossibility,0.0
impossible,0.0
impound,0.0
impounded,0.0
impounding,0.0
impounds,0.0
impracticable,0.0
impractical,0.0
impracticalities,0.0
impracticality,0.0
imprisonment,0.0
improper,0.0
improperly,0.0
improprieties,0.0
impropriety,0.0
imprudent,0.0
imprudently,0.0
inability,-0.8038
inaccessible,0.0
inaccuracies,0.0
inaccuracy,0.0
inaccurate,0.0
inaccurately,0.0
inaction,-0.5
inactions,0.0
inactivate,0.0
inactivated,0.0
inactivates,0.0
inactivating,0.0
inactivation,0.0
inactivations,0.0
inactivity,0.0
inadequacies,-0.8038
inadequacy,-0.8038
inadequate,-0.8038
inadequately,-0.5
inadvertent,0.0
inadvertently,0.0
inadvisability,0.0
inadvisable,0.0
inappropriate,0.0
inappropriately,0.0
inattention,0.0
incapable,-0.7636
incapacitated,-0.8808
incapacity,0.0
